"Country","LifeExp","InfantSurvival","Under5Survival","TBFree","PropMD","PropRN","PersExp","GovtExp","TotExp","LifeExp_4.6","TotExp_.06"
"Afghanistan",42,0.835,0.743,0.99769,0.000228841,0.000572294,20,92,112,29305338.0706083,1.32725106152975
"Albania",71,0.985,0.983,0.99974,0.001143127,0.004614439,169,3128,3297,327935478.264607,1.62587493851353
"Algeria",71,0.967,0.962,0.99944,0.001060478,0.002091362,108,5184,5292,327935478.264607,1.67269666159231
"Andorra",82,0.997,0.996,0.99983,0.003297297,0.0035,2589,169725,172314,636126841.29338,2.06148051315672
"Angola",41,0.846,0.74,0.99656,7.04e-05,0.001146162,36,1620,1656,26230449.9794247,1.56006832767934
"Antigua and Barbuda",73,0.99,0.989,0.99991,0.000142857,0.00277381,503,12543,13046,372636297.907919,1.76574767245075
"Argentina",75,0.986,0.983,0.99952,0.002780191,0.000741044,484,19170,19654,421970229.062743,1.8097019614468
"Armenia",69,0.979,0.976,0.9992,0.003698671,0.004918937,88,1856,1944,287544998.117969,1.57514948534069
"Australia",82,0.995,0.994,0.99993,0.002331953,0.009149391,3181,187616,190797,636126841.29338,2.07412197359523
"Austria",80,0.996,0.996,0.9999,0.003610904,0.006458749,3788,189354,193142,567824255.512695,2.07564273373863
"Azerbaijan",64,0.927,0.911,0.99913,0.003660005,0.008477873,62,780,842,203436033.848986,1.49802384199748
"Bahamas",74,0.987,0.986,0.9996,0.000954128,0.004045872,1224,55783,57007,396703389.123585,1.9291042206168
"Bahrain",75,0.991,0.99,0.99955,0.002679296,0.005967524,710,45784,46494,421970229.062743,1.90565296391647
"Bangladesh",63,0.948,0.931,0.99609,0.000274894,0.000253034,12,75,87,189219777.507776,1.3072876402345
"Barbados",75,0.989,0.988,0.99989,0.001098976,0.003372014,725,24433,25158,421970229.062743,1.83670989953034
"Belarus",69,0.994,0.992,0.99929,0.004758674,0.012457093,204,11315,11519,287544998.117969,1.75260839121647
"Belgium",79,0.996,0.995,0.99989,0.004230489,0.014079195,3451,239105,242556,535901064.771775,2.10420826118969
"Belize",69,0.986,0.984,0.99944,0.000890071,0.001074468,198,5376,5574,287544998.117969,1.67791523702707
"Benin",55,0.912,0.852,0.99865,3.55e-05,0.000660845,28,600,628,101313745.605251,1.47189753717731
"Bhutan",64,0.937,0.93,0.99904,8.01e-05,0.001124807,52,407,459,203436033.848986,1.44447078048654
"Bolivia",66,0.95,0.939,0.99734,0.001104233,0.001934039,71,2860,2931,234370045.044395,1.61443643067964
"Bosnia and Herzegovina",75,0.987,0.985,0.99943,0.001411105,0.004669384,243,6578,6821,421970229.062743,1.69836442000068
"Botswana",52,0.91,0.876,0.99546,0.000384822,0.002558127,431,19604,20035,78273613.0026006,1.81178792463088
"Brazil",72,0.981,0.98,0.99945,0.00104664,0.00348141,371,13940,14311,349727258.582782,1.77557981349752
"Brunei Darussalam",77,0.992,0.991,0.99901,0.00104712,0.005549738,519,30562,31081,476274506.60849,1.86015742034849
"Bulgaria",73,0.99,0.988,0.99959,0.000253477,0.00455323,272,11550,11822,372636297.907919,1.7553408399921
"Burkina Faso",47,0.878,0.796,0.99524,4.93e-05,0.000456647,27,304,331,49164332.4259317,1.41641226787172
"Burundi",49,0.891,0.819,0.99286,2.45e-05,0.000164933,3,10,13,59552770.184134,1.16637069943826
"Cambodia",62,0.935,0.918,0.99335,0.000144185,0.000783616,29,140,169,175793078.537263,1.36042060850809
"Cameroon",51,0.913,0.851,0.99763,0.000171884,0.001432847,49,784,833,71585128.6924311,1.49705825403292
"Canada",81,0.995,0.994,0.99996,0.001912607,0.010044633,3430,192800,196230,601216771.098773,2.07761907621811
"Cape Verde",70,0.975,0.966,0.99676,0.000445087,0.000789981,114,5394,5508,307221060.568827,1.67671649148073
"Central African Republic",48,0.886,0.826,0.99472,7.76e-05,0.000378195,13,190,203,54163870.6073116,1.37546569182657
"Chad",46,0.876,0.791,0.9943,3.3e-05,0.000238728,22,234,256,44533417.6551033,1.39474366635041
"Chile",78,0.992,0.991,0.99984,0.001047677,0.000607349,397,17952,18349,505399924.116092,1.80225709558494
"China",73,0.98,0.976,0.99799,0.001402082,0.0009795,81,1302,1383,372636297.907919,1.54329635623478
"Colombia",74,0.983,0.979,0.99941,0.001289806,0.000525484,201,12410,12611,396703389.123585,1.76215850988921
"Comoros",65,0.949,0.932,0.99914,0.000140587,0.000718826,14,304,318,218474845.328941,1.41301127474561
"Congo",54,0.921,0.874,0.99434,0.000204934,0.000995392,31,915,946,93113209.2153792,1.50852832163854
"Cook Islands",73,0.984,0.981,0.99976,0.001428571,0.005714286,466,27264,27730,372636297.907919,1.84746828696728
"Costa Rica",78,0.989,0.988,0.99983,0.001182996,0.000830416,327,15376,15703,505399924.116092,1.78549631348326
"Côte d'Ivoire",53,0.91,0.873,0.99253,0.000110024,0.000538226,34,315,349,85441526.7549789,1.42091966776538
"Croatia",76,0.995,0.994,0.99936,0.002469271,0.005459175,651,30210,30861,448479425.91743,1.85936477725146
"Cuba",78,0.995,0.993,0.9999,0.005908139,0.00744475,310,21075,21385,505399924.116092,1.8188905025948
"Cyprus",80,0.997,0.996,0.99994,0.033228132,0.003972813,1350,39399,40749,567824255.512695,1.89063205671874
"Czech Republic",77,0.997,0.996,0.9999,0.003591618,0.008942978,868,56137,57005,476274506.60849,1.92910015977648
"Democratic Republic of the Congo",47,0.871,0.795,0.99355,9.61e-05,0.000474721,5,66,71,49164332.4259317,1.29144376811146
